neighborhood,population
acton,6522
adams normandie,17596
agoura hills,20324
agua dulce,3130
alhambra,85961
altadena,42680
arcadia,52951
arleta,31068
artesia,16380
athens,9101
atwater village,14888
avocado heights,17415
azusa,44384
baldwin park,75753
bel air,7691
bell,36667
bell gardens,44054
bellflower,72829
beverly crest,10852
beverly hills,33829
beverlywood,6080
boyle heights,92756
bradbury,1268
brentwood,31344
burbank,100316
calabasas,23130
canoga park,53227
carson,89549
carthay,4866
castaic,16843
century city,5513
cerritos,51831
chatsworth,35073
cheviot hills,6945
chinatown,9610
claremont,35397
commerce,12583
compton,94384
covina,50954
cudahy,24208
culver city,38816
del aire,9039
del rey,28010
desert view highlands,2287
diamond bar,56784
downey,107323
downtown,27849
duarte,21486
eagle rock,32493
east hollywood,73967
east la mirada,9442
east los angeles,125897
east pasadena,6045
echo park,40455
el monte,116249
el segundo,15970
el sereno,40954
elizabeth lake,1379
elysian park,2530
elysian valley,7387
encino,41905
exposition park,31062
florence,43815
florence firestone,60154
gardena,57818
glassell park,23467
glendale,195047
glendora,50177
granada hills,50535
green meadows,28381
hacienda heights,53525
hancock park,9804
harbor city,23561
harbor gateway,39688
harvard heights,18587
harvard park,10297
hawaiian gardens,14915
hawthorne,86265
hermosa beach,18442
hidden hills,1875
highland park,57566
hollywood,77818
hollywood hills,21588
huntington park,61370
hyde park,36635
industry,1008
inglewood,112482
irwindale,1472
jefferson park,23130
koreatown,115070
la canada flintridge,20381
la crescenta montrose,18507
la habra heights,6094
la mirada,46782
la puente,41009
la verne,33117
ladera heights,6509
lake balboa,24238
lake hughes,571
lake los angeles,11141
lakewood,79412
lancaster,120783
lawndale,31729
leimert park,11782
lennox,22950
leona valley,1374
lincoln heights,26616
littlerock,1388
lomita,19984
long beach,462731
los feliz,35238
lynwood,69899
malibu,12514
manchester square,11594
manhattan beach,34039
mar vista,35492
marina del rey,8302
maywood,28083
mid city,52197
mission hills,18237
monrovia,36817
montebello,61960
monterey park,59933
north hills,53095
north hollywood,77848
north whittier,4351
northridge,57561
norwalk,103223
pacific palisades,23940
pacoima,75014
palmdale,117432
palms,42545
palos verdes estates,13340
panorama city,65766
paramount,55319
pasadena,134941
pico rivera,63151
pico union,42324
playa del rey,9755
playa vista,2416
pomona,150269
porter ranch,24923
quartz hill,9351
rancho dominguez,2526
rancho palos verdes,41301
rancho park,4295
redondo beach,63261
reseda,62174
rolling hills,3218
rolling hills estates,8334
rosemead,53280
rowland heights,47524
san dimas,35064
san fernando,23534
san gabriel,39306
san marino,12973
san pasqual,2082
san pedro,80065
santa clarita,157447
santa fe springs,17834
santa monica,84084
shadow hills,13098
sherman oaks,61166
sierra madre,10578
signal hill,9273
silver lake,30972
south el monte,20935
south gate,96418
south park,30496
south pasadena,24303
south san gabriel,8100
south whittier,55285
stevenson ranch,8609
studio city,34034
sun valley,75848
sun village,9375
sunland,15316
sylmar,69499
tarzana,35502
temple city,33296
toluca lake,7782
torrance,137933
tujunga,26527
university park,23596
val verde,1888
valinda,21568
valley glen,59230
valley village,24190
van nuys,103770
venice,37705
vermont knolls,20616
vermont square,45284
vermont vista,23291
vernon,94
walnut,30004
walnut park,16180
watts,36815
west adams,21764
west carson,21010
west covina,104893
west hills,38814
west hollywood,35716
west los angeles,12659
west puente valley,23866
westchester,41500
westlake,103839
westlake village,8663
westwood,47916
whittier,83838
willowbrook,34336
wilmington,51517
winnetka,46943
woodland hills,59661
